content,label
我很沮喪，沒有動力，我的思想很困擾,0
我為那個因悲傷和不被愛而做出錯誤決定的小女孩哭泣,0
我意識到我的行為我的感受和我永遠忠實的直覺但有時我仍然是個混蛋,3
我是那種總是害怕傷害別人的感情，害怕給我的生活帶來麻煩的人,2
我可能比大多數人更緊張，因為我的家人酗酒,2
我覺得公寓很亂,0
我感覺很勇敢，還有幾個星期的時間我會嘗試她的外套並製作一把鐮刀,3
今天早上我感覺有點沉悶和沈重,0
我很幸運有一個可愛的支持夥伴和最好的朋友,3
這麼早起床我覺得很不爽,1
我覺得我正在接受其他事情發生的事情，這讓我感到愚蠢，因為相信它會變得更好,0
我覺得我想瘋了 shiya,1
我渴望學習，並且我對自己的技術經驗充滿信心去追求這個夢想,3
我現在開車四處走動，我不那麼害怕了,2
我覺得嫉妒 我覺得書明星,1
我解釋說，生氣有點像火警，有時我們會生氣，因為它只是燒了香腸而不是真正的火,1
我向他保證我不會談論我們的感受，我有點害怕談話會導致什麼,2
我覺得這是你應該固執的時代之一，或者我稱之為挑剔,1
我喜歡城市遊戲，但我總是發現它們是一隻真正的熊，可以超越某個點，但這很好地結合在一起，感覺就像它很容易成為野蠻世界使用的情節點冒險之一,1
我討厭人們認為我醜陋的感覺，但我知道我可以提供比外表更重要的東西，並且可以在合適的情況下吸引合適的人,0
我不禁為觀眾感到困擾，我認為他們代表了我們心中真正的人性,1
我覺得從年輕一代那裡得到啟發有點羞恥，但嘿，時尚是永恆的，對吧,0
我很累我早些時候試著讓教練在那裡因為我知道我很累我們跑了一個山景和一個棕色加上額外的空調我太累瞭如果我讓她覺得不重要我很抱歉她什麼都不是,0
我討厭她的父母讓她對自己感到不確定，主要是她的母親讓她相信她不聰明,2
我只是感到孤獨,0
我只需要表達我的感受 如果我冒犯了你，請忽略這個,1
我坐在這裡接受一切並感到幸福,3
我感到忘恩負義和被寵壞了,0
我真的很懊悔,0
我會告訴你我每天都感覺更不舒服，但過去幾天我根本沒有真正感到懷孕,2
我感覺很低落，但你總是在那裡讓我知道你會永遠愛和關心，真正的愛是永遠分享的,0
我覺得我越來越渴望溫暖的空氣,2
我覺得很笨，我會再試一次，然後我在裡面找到層層，應該慢慢地包裹起來，而不是立即包裹起來,0
我一直吃到我覺得噁心，現在想想就噁心，想想我怎麼拒絕相信我有問題就讓我感覺很糟糕,0
我走了，他們正在使用我的東西，儘管我盡量不去想它，因為這感覺很瑣碎,1
我一直感到失望和悲傷,0
我記得那天特別興奮，因為我認為自己已經長大了,3
我想相信我想在心裡感受耶穌，因為我害怕下地獄，這應該是一次如此奇妙的經歷,2
我每天服用大約毫克緩釋嗎啡，現在我教授有任何感覺，我感到汗流浹背，而且我的包層上起雞皮疙瘩，我對自己完成的事情感到沮喪，急切地想在附近我是怎麼做到的,2
我總是因為孩子們而感到匆忙,1
我理解那種感覺 我理解害怕自己,2
每當有人要求我在我大聲喧嘩時保持安靜時我都會感到被冒犯，這不像去年那樣多,1
我覺得你一點也不愉快 我還被告知要給這個區域一個柔軟的地方，我的意思是在抽水的同時進行柔軟的按摩，因為它有助於清除我第一個孩子遇到的堵塞，這真是太痛苦了,3
我現在感覺有點顫抖和心煩意亂,2
我說，即使在將近一周之後，每當我聽到奧巴馬總統的話，我仍然感到高興,3
我為自己減掉了這麼多感到自豪 我為自己背負了這麼多感到更羞愧 更羞於承認我還有 60 磅要保持健康的體重,3
我真的覺得這對我來說快結束了，但我又不確定了,2
我從來沒有真正深入思考過，那個演戲的男人在多年感到一文不值的虛弱無能之後，他一定是一種什麼樣的情緒狀態,0
我感覺圓潤悠閒，我在想蘇格蘭布洛克謝謝戴安娜·加巴爾登,3
起初我不明白，但那種酸澀的感覺襲擊了我的氣管，阻礙了我肺裡的新鮮氣息的侵入,2
我覺得我所知道的生活正在不情願地接近尾聲，因為新兵訓練營明天就要開始了,2
我認為當您可能感到不確定時提出問題會有所幫助,2
我沒有討厭他，他是一個堅強的人，但我對他也沒有任何特別的依戀,3
我仍然覺得很有創意，但現在我覺得我可以更符合我的藝術,3
我很自豪很感激，我覺得我是一個超級媽媽,3
我對博伊西感到完全窒息，在稍後的帖子中我保證它仍然是我唯一住過的地方，我害怕離開失去朋友和被遺忘,2
在 agt 的幫助下，我現在感覺有點圓潤，並消除了我對一些蔬菜的挫敗感,3
我對它們感覺不那麼懦弱了，但仍然如此柔和,2
我想很像調酒師，只是在規模較小的情況下，人們會很自在地告訴你各種各樣的事情,3
我覺得自己像個可怕的媽媽，因為我今年根本沒有為卡羅萊納州計劃任何事情,0
我對她來這裡幫忙的感覺不那麼害怕了,2
我記得醒來時感到焦慮和興奮地閱讀聖經，它令人驚奇的是上帝會如何改變你的慾望,2
我一個人在家閱讀 hp the hbp 感到不知何故不滿,0
我從一月份開始重新閱讀我的目標，對自己感到有點失望,0
我仍然覺得這就是她如此猶豫的原因,2
我感覺棒極了，我的小冒險穿著也沒有更糟,3
我感到內疚，因為它突然變得寒冷和下雪,0
我沒有克服無助、絕望或不配的感覺,2
我很容易被錯誤地摩擦，我立刻感到暴躁和悲傷,1
我對別人認為的東西感到威脅，這意味著我2我可能是錯的,2
我不感到怨恨我感到內疚,1
我感到如此孤獨和迷失,0
我不是說我不欣賞我的男朋友，我現在很愛陳誠，但很多時候，當我對現在的生活感到不3時，我會發現自己想知道如果我繼續走另一條路，生活會是什麼樣子和,0
我喜歡擺脫這種憂鬱的不適感這種自我仇恨,0
我覺得自己不夠格，因為我沒有動力去學習我父親試圖教給我的許多東西,0
我想我會向你展示我一直以來最喜歡的裙子，我稱之為性感淑女裙，因為每當我穿上它時我都會感覺很棒,3
我感覺你是個真誠的年輕人,3
我對每週感到最2可能是因為它最有可能不可避免地向我展示我作為跑步者的缺點,2
我從不回頭 懷著沉重的心情向前走 我感到不滿足 好像我破產了,0
我為他們感到勝利，這才是最重要的,3
我開始感到緊張或焦慮我購物，因為我一直在努力觀察我的預算，我決定我只允許自己買書,2
一段時間以來，我一直對李的情況感到非常懷疑，他的父母清楚地表明，他們和李不想讓我知道關於 e 的事情。,2
我覺得很糟糕，在他們身上畫畫,0
我覺得作為一個人和一個政治家，我不能讓狗在比其他人更危險的街道上亂跑,1
我還是覺得很糟糕,1
我以前有過這種感覺，我動搖了生活,2
我不想感到粗魯，就像我認為如果我不吃他們會生氣我吃了它,1
我一直覺得我內心有一些奇怪的東西，這讓我越來越感到不滿，但直到幾天我才弄清楚那是什麼東西,2
我有一種過山車般的感覺，我對一切都非常興奮，因為我在想你，我多麼想要你,3
我不知道如何拒絕一個人，因為我對他們不感興趣我覺得不回复很粗魯,1
每次看到 eddie 我都感到欣喜若狂，我不敢相信我們在一起多久了,3
我對成為一名消防員的前景感到緊張和害怕,2
我是使用這種媒體的超級菜鳥 我已經感到沮喪,1
我知道他對刪除他的歌曲感到相當憤怒,1
我需要克服我在時間上自私的感覺,1
我站著不動，再次感到頭暈目眩，對正在發生的事情感到非常困惑,2
我睜開眼睛我覺得我的邊緣很煩,1
我認為這些藥片正在消失，或者我只是太習慣了，因為我再次感到難過,0
我害怕激活 facebook aga,2
我感到很興奮,3
我對自己的未來感到不安全或不確定,2
我不知道該怎麼辦，因為我覺得無論我說什麼，都會歸咎於我自從約會佩里以來就不同了，這不是真的,0
當我快要被我朋友的狗咬的時候,2
我有點氣餒，因為去年我開始跑步,0
我更喜歡有效率，所以當我沒有壓力時，我覺得我做得不夠,3
我仍然感覺有點顫抖，但沒關係,2
我覺得我們作為一個社會正在因為強調獨立的價值而受到懲罰，以至於人們沒有意識到實際上我們都是相互依存的,0
我確實比剛結婚幾天不說話時對他的瘋狂要少得多,2
我也很愚蠢，我為他的捏造而墮落，我有良好的專業判斷力的記錄，但我必須接受現實,0
我有點懷疑聖誕節的縫紉是否會做完,2
我心疼我的音樂重寫fma op,2
我很高興我有這個發洩的途徑，尤其是當我有時覺得自己是一個如此小氣和自私的人時,1
我把他交給磨砂膏，當時他對膠帶和那個輕率的孩子感到憤怒，但當他拿到這個小東西時，他就像一團黃油一樣融化了,1
我覺得我們的政府在 span 風格彩色字體系列 arial sans serif 字體大小上已經惹惱了一大塊,1
我對自己的方向感到困惑或不確定要走的路,2
我已經覺得有點不利了,0
我被所有這些電視節目分心了,3
我覺得我正在取得進步很多死胡同和特殊的用水要求使這是一個貧困的花園,3
我對我對技術領導和管理問題個人發展挑戰和地緣政治事件充滿熱情的問題表達我的感受和意見,3
我會選擇不回答這個問題，因為我對人際關係和特殊的人感到非常敵對,1
我很抱歉沒有看相機我今天感覺很糟糕而且筋疲力盡,0
我說我一遍又一遍地意識到當我感到痛苦時，我不能不痛苦,0
我感覺自己變得更強大了，並且對自己的能力充滿信心,3
我開始感到憤怒,1
我有一種感覺，因為到目前為止已經給某些人的那些已經受到了歡迎，我不能被打擾,1
我讀了一些博客文章和文章來回應這個問題,2
我完全失去了用我的行為來區分我的感情的能力，當他們對他們的父親和我的丈夫粗魯和傷害時，我的丈夫也是我的英雄、最好的朋友和心臟,1
我感到焦躁但很虛弱,1
今天能夠與大家分享她的品牌 spankin 新書，我感到很榮幸和幸運,3
我想告訴你我的感受，但我不知道從哪裡開始我想告訴你一切，但我害怕你,2
我使用主要可能是因為我感到害怕,2
我感覺是一隻生氣的兔子,1
我記得我在大樓後面找到了另一間浴室，我覺得自己很聰明，我就這樣閒逛,3
我感覺裡面不是我自己的，但我仍然感到沮喪，也許是因為我不知道它來自哪裡,0
我還要給自己列一個隨機的清單,2
我覺得被排除在談話之外，然後我覺得奇怪，問他們在說什麼臭味,2
我保存了我對她的所有恨意，然後當時間到來時，我為她吐出了每一個煩惱和可恨的感覺,1
我也覺得很煩,1
我需要擺脫這個，一勞永逸地找出我是否是我覺得我在裡面的那個人，只是被抑制了,2
我一直感到叛逆,1
我覺得他們的想法是天真無邪的,3
有時我覺得這個世界太爛了,0
我今天感到痛苦和憤怒，我不喜歡它,1
有時我會被我認為在經驗和成熟度方面比我更高的人感到壓力和恐嚇,2
我覺得我感到害怕和不安全,2
我用這些詞專門指那些傳統的和正統的天主教徒，自從本世紀下半葉教會崩潰成為現代主義以來，他們經常不公正地感到不受歡迎作為教會的成員,0
我不想寫一個不爽的博客,1
我喜歡這樣，在見到你之前我會感到很緊張，但當我看到你時我會很舒服,2
我現在感覺很平靜，壓力也減輕了，因為我的公寓很乾淨，幾乎光禿禿的，就好像我剛搬進來一樣,1
我真的感到不舒服,2
我覺得在href http backlinknuke上張貼完全無助,2
我覺得自己並沒有太委屈自己不要讓自己每天餓得頭暈所以不能做其他工作,1
我是粘土面具的粉絲，因為喜歡感覺它們在我臉上變硬，我知道這很奇怪,2
我很高興，感謝所有應用程序,3
我在確信我只感到自憐和確信這實際上是臨床症狀之間搖擺不定,3
我認為在關係中建立傳統很重要，你最終可以讓對方對忘記看到一個href http ashfreeblog感到內疚,0
我確實覺得我很小氣，因為我們確實花了這麼多該死的時間在一起,1
我從不喜歡勝利，這讓我感到太害羞，讓我感到羞恥,2
我覺得舌頭很苦，水無助於減輕它,1
我想要一個讓我覺得華麗有趣和令人嚮往的男人，但我不必與之建立關係,3
我覺得我很粗魯，但在某種程度上，我認為我的感情很情緒化，因為我努力做一個善良的人,1
我記得在那個驅動器上感到非常害怕，所以不確定會發生什麼以及我是否能應付它,2
我一整天都滿臉愁容，即使我今天早回家，我仍然感到很不高興,1
我開始感到昏昏欲睡 疼痛 低度頭痛 噁心 嘔吐 發冷 流感樣症狀,0
我有太多的感覺，看到的太多，我被世界各地的圖形和未熄滅的圖片所折磨,2
我最近一直覺得自己懷疑上帝,2
當我感到貧窮時，我應該感到富有,3
我知道一切都會好起來的，但有時我只是感到不知所措,2
我明天必須在葬禮上發言，我沒有寫下任何該死的東西，但我心裡清楚我對他的感覺，當我站起來時，它會是真誠的，誠實的和未經訓練的,3
我覺得我不是每個人都會喜歡的那種女孩，因為我不可愛或善良或其他任何東西,3
我感到很痛苦，因為他的假期正好在所有學期的高潮月份,0
我覺得人們害怕講述他們的故事，害怕聽別人的故事,2
我有時覺得很需要,0
我嫉妒那些去教堂並真正從中得到一些東西的人，因為我在聖餐聚會上試圖阻止我的孩子們燒毀建築物，然後我去追逐其他人的孩子,1
我敢肯定，當年輕的女士們看到我毫不猶豫地端上這些即食菜餚時，她們會感到不那麼害怕,2
我現在感覺很受侮辱,1
我仍然對變化感到不確定,2
我感到很激動 那個攔住門的教授給我留下了深刻的印象,2
我不想讓這些謊言讓我感到憤怒忘恩負義和空虛,1
我說下次冰箱空了的時候可能會做這個，但我對大驚小怪感到很不耐煩,1
我覺得如果你的書不是現代的，我覺得你可以更容易地擺脫你的角色是一個兇手或混蛋，或者只是一個聰明的屁股，我想試著和漂亮的艾米打破這種模式,3
我很興奮但有點懷疑,2
當我想到去澳大利亞時，我感到很緊張，雖然我同時感到很興奮,2
我不記得很多了，但是閱讀舊日記讓我想起了我當時是多麼不3的那種干嘔的感覺,0
我參加了幾個星期的運動課，對安迪和家庭生活的壓力減輕了，效果立竿見影,0
我懷疑在這種情況下，野鴨是作為 scrooges 的員工說話的，他的任務是把丟失的貨物運到鴨堡，他確實覺得皮特從 scrooges 的損失中獲利是不幸的,0
我認為當你覺得你可以在那個人面前做最愚蠢最愚蠢的事情並且知道他們不會在乎一種或另一種因為他們愛你就像你和他們一樣時，你可以告訴你戀愛了可以做同樣的一輪你,0
我對大規模殺傷性感到如此偏執，你知道,2
我在任何時候都感到不受歡迎,0
我保持高能量水平我每天都感覺容光煥發，你也可以,3
我開始感到瘋狂的恐慌像拳頭一樣打在我的腸子裡,2
我覺得富有，新鮮，在夜裡醒著,3
結果我感覺非常棒,3
我不禁為我恨他並希望他離開的一切感到失落,1
我不一定對此感到過於樂觀,3
我很幸運能將它們作為我生活的一部分,3
我很榮幸認識這個人,3
今年我沒有受到項目的啟發,3
我覺得我應該提到結局相當暴力，大量人死亡,1
我感到很沮喪，因為總是想念他,0
我覺得我是那個地區最危險的人，週日 ewaliko 談到了將熊隊與勝利分開的院子以及他們連續第三次獲得 no ka oi 獎杯,1
我覺得開放政策對我來說尤其重要,3
我感覺很好孤立的人聲,3
我知道它不時發生，當它發生時，我感到很不安,2
儘管如此，我實際上比周四瓜迪奧拉解釋的更痛苦,1
我知道我非常感謝,3
我很幸運能在我的生活中幫助我每天成長和學習,3
我想擁抱你告訴你我很害怕失去你,2
我有很多迪斯尼樂園和聖地亞哥的度假照片，我想廢棄，但開始時我有點害怕,2
我不認為只有我一個人有這種感覺，我很容易分心，有點不耐煩，有點難以拔掉電源,1
我想我們都感到放心,3
我什至不記得陽光是什麼感覺，然後我飛奔到光譜的另一端，在那裡我變得焦躁不安，暫停談話去清理冰箱,2
我覺得我是 我只知道我在地球上 沉悶而空虛 地球監獄 用它的沉悶使我的身體冰冷，我高漲的思想被摧毀 我從激情夢想中逃到孤獨中 但衝突困擾著我只知道我是,0
我知道你之前承認，當色雷斯船長折磨賽昂萊奧本尋找艦隊中所謂的炸彈的位置時，賽昂人會感到痛苦，他說,1
我覺得他們好像在部分地看透我，我相信他們第二次犯錯了，或者像我喜歡被看透或解決的任何事情,3
我調了，但我認為這是春天坐在門廊上喝啤酒看日落的一種數字，在一天結束時感覺很好我真的很高興我認識了sideburn iv紀念碑,3
我以前經歷過，我知道我會越來越不滿意和煩躁，最終會放棄,1
我有點神經質,2
我在教堂裡聽一位牧師說人是多麼有罪,1
當溫暖的天氣滲入我的身體時，我感到非常柔和和平靜,3
我感到非常害怕我會用指甲抓他或戳他的軟點,2
我喜歡參加艱難的泥濘賽事我對一些障礙沒有太大的熱情雖然我寫了關於在上次賽事中感到寒冷我想如果我沒有感覺不舒服我可能會推動自己完成它們,1
我可能會覺得不足，但它就是這樣,0
我覺得這樣做是不真誠的,1
