response,empathy_score,fluency_score,sentiment_score
我好遺憾聽到你覺得唔舒服。有冇咩特別事情令你有呢種感覺？,1,0.09,0.464111236
我好遺憾聽到你有呢個感受。係唔係有咩特別事情導致到有呢種感覺？,1,0.13,0.803895779
我好遺憾聽到你有呢個感受。你可以揾到令你到有呢種感覺嘅具體事件嗎？,1,0.15,0.941876488
我明白。係唔係發生咗咩特別事件？,0.5,0.13,0.896029062
我好遺憾聽到你有呢種感受。會唔會係因爲某件事？,0.5,0.09,0.659777026
我好遺憾聽到你感到難過。你知道係乜嘢導致到呢種唔開心嘅感覺，係一個特別事件？,1,0.12,0.853689089
如果你唔介意分享，你係咪因為某個特別事件而有呢種感覺？,0.5,0.18,0.930101466
聽到你好難過，我好遺憾。有咩事情令你難過嗎？,0.5,0.15,0.713829387
你可以話俾我知係咪有特定嘅嘢令你有呢種感覺？,0.5,0.16,0.659777026
我好遺憾聽到你有呢種感覺。你可以話俾我知係咪有特定嘅事件導致咗呢種感覺？,1,0.17,0.659777026
Oh 聽到呢個我好遺憾。係有特定情況導致？,1,0.08,0.938870099
聼到呢個我好遺憾，我可以理解。係咪有導致呢種情況嘅事件？,1,0.15,0.659777026
我好遺憾聽到。你可以話俾我知佢係咪由特別事件引起？,0.5,0.12,0.879118126
我好遺憾聽到你有呢種感受。你可以諗到導致呢種情況發生嘅具體原因嗎？,1,0.14,0.919767005
多謝你同我分享你嘅情緒，我知道而家可能好難處理佢地。為咗我可以更好咁幫你，你可以話俾我知係咪有具體嘅事件令你有呢種感覺？,1,0.23,0.964674934
多謝你俾我知道，我好遺憾你有呢種感覺。請問呢種感覺係唔係有咩特殊原因導致？,1,0.22,0.953902042
Oh 我好遺憾聽到呢個消息。係某D事情造成嘅？,0.5,0.07,0.849304773
我好遺憾聽到呢個消息。係咪有特定事件導致你有呢種感覺？,1,0.12,0.659777026
我好遺憾聽到呢個消息。有冇咩特別事情令你有呢種感覺？,0.5,0.11,0.722096956
我好遺憾聽到呢個消息。有冇發生咩事令你有呢種感覺？,0.5,0.1,0.686709257
我好遺憾聽到呢個消息。係唔係有咩特別嘅嘢導致了呢種感覺？,1,0.11,0.810346987
我好遺憾聽到你今日感覺唔舒服。係咩特定嘅事件令你有呢種感覺？,1,0.11,0.867280471
我好遺憾聽到你感覺唔舒服。有冇咩特別嘅嘢令你有呢種感覺？,1,0.09,0.713829387
聽到呢件事我好遺憾，係咪有某D事情導致？,0.5,0.09,0.867280471
我好遺憾聽到呢個消息。係咪有特定事件導致你有呢種感覺？,1,0.12,0.938870099
我好遺憾聽到呢個消息。會唔會係因爲某件事？,0.5,0.09,0.659777026
