,response,zh_label,empathy_score,annotator1_score,annotator2_score,annotator3_score,,
"When you've selected the protocol you want to try, please begin the protocol. When you have finished, you may press 'continue' to carry on.",當你選擇了要嘗試的練習後，請開始該練習。完成後，你可以按“繼續”繼續。,2,2,1,2,2,,1
Did something happen to you?,你有什麼事嗎？,0,0,0,0,1,,2
"Thank you for taking part, I really appreciate it and your efforts are very valuable. Have a good day!",感謝你的參與，我真的很感激，你的努力非常寶貴。祝你有美好的一天！,2,2,2,1,2,,0
I am grateful for your participation. I hope to work with you again soon.,我很感謝你的參與。我希望很快能再次與你合作。,2,2,1,2,2,,0
"Thank you for being so open, I'm trying to determine the best way to help and know how hard it is to revisit trauma. I would like to know if Protocol 6 proved too painful for you?",感謝你如此開放，我正在嘗試確定提供幫助的最佳方式，並了解重新審視創傷是多麼困難。我想知道練習 6 是否對你來說太痛苦了？,2,2,2,2,2,,1
"I am sorry this has not made you feel better, somtimes it may be necessary to try different protocols before feeling better. Would you like to attempt another one which hopefully will be much more helpful to you?",很抱歉，這並沒有讓你感覺更好，有時可能需要嘗試不同的練習才能感覺更好。你想嘗試另一種希望對你更有幫助的方法嗎？,2,2,2,2,2,,2
"Thank you for that, perhaps Protocol 6 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you recently tried Protocol 6, and if you have, did it bring up difficult emotions from past events?",謝謝你，也許練習 6 可以幫助你處理這個事件，但是在我推薦它之前，我想確保你過去沒有遇到過不好的經歷。你最近是否嘗試過練習 6，如果你嘗試過，它是否會引起過去事件的困難情緒？,2,2,2,1,2,,2
"Thank you. As a result of your current emotion, are you feeling the need to control others?",謝謝你。由於你當前的情緒，你是否覺得需要控制他人？,2,2,1,2,2,,0
I think it might help if we talk about what caused you to feel like this. Was it a specific event that distressed you?,我認為如果我們談談是什麼讓你有這種感覺可能會有所幫助。是不是某個特定的事件讓你感到苦惱？,2,2,2,2,2,,2
"Give it a go now, please. When you're done, just hit 'continue'.",請現在試一試。完成後，只需點擊“繼續”。,0,0,0,0,1,,1
"Thank you very much for your answer. I would now like to ask you if you see yourself as the victim of the situation, and someone else is to blame for your painful feelings?",非常感謝你的回答。我現在想問你，你是否認為自己是這種情況的受害者，而其他人應該為你的痛苦感受負責？,2,2,2,1,2,,2
Was this recent or did it happen in the past?,這是最近發生的還是過去發生的？,0,0,0,0,1,,1
How about responsibility for what is happening in your life. Do you feel you are always the one to blame for things that go wrong?,對你生活中發生的事情負責怎麼樣。你覺得你總是要為出錯的事情負責嗎？,1,1,1,0,2,,0
Was this caused by a certain event?,這是由某個事件引起的嗎？,0,0,0,0,1,,2
"Sometimes when we're angry, it's because we want to help people, but we feel we can't or they won't let us. Do you feel that there is someone in your life who you're trying to save or rescue?",有時我們生氣是因為我們想幫助別人，但我們覺得自己做不到，或者他們不讓。你覺得你的生活中有一個人是你想要拯救或拯救的嗎？,2,2,2,1,2,,2
"Please try finishing the protocol in your own time. When you're done with it, please come back and hit 'continue', so we can assess how that went.",請嘗試在你自己的時間完成練習。完成後，請返回並點擊“繼續”，以便我們評估進展情況。,2,2,2,2,2,,1
"Did this happen a long time ago, or fairly recently?",這是很久以前發生的，還是最近發生的？,1,1,0,1,1,,2
"Thank you for answering that. During a conversation, do you usually consider other people's point of view?",謝謝你回答。在談話中，你通常會考慮其他人的觀點嗎？,1,1,1,1,2,,2
"When something goes wrong, do you always give yourself the blame?",當出現問題時，你總是把責任歸咎於自己嗎？,0,0,0,0,1,,2
Would you be able to tell me if there are specific situations that are making you feel this way?,你能告訴我是否有特定的情況讓你有這種感覺嗎？,2,2,1,2,2,,2
Thank you. Are you worried about any personal issues between you and people close to you?,謝謝你。你是否擔心與你親近的人之間的任何私人問題？,1,1,1,1,2,,1
"That is perfectly normal, although of course I wish it had been a more positive experience for you. How about we try one more?",這是完全正常的，雖然我當然希望這對你來說是一次更積極的經歷。我們再試一次怎麼樣？,2,2,2,2,2,,1
"Thanks, it's been great having this conversation with you. I hope we meet again soon.",謝謝，很高興與你交談。我希望我們很快再見面。,2,2,2,2,2,,2
"Thanks for doing that. Has it made a difference? Do you feel better now, or worse?",謝謝你這樣做。它有什麼不同嗎？你現在感覺好些還是更糟？,1,1,1,2,1,,1
Would you say that you were able to really consider other viewpoints when they arose in previous conversations?,你會說當其他觀點出現在之前的談話中時，你能夠真正考慮到其他觀點嗎？,1,1,1,0,1,,1
Have you thought about the various viewpoints and perspectives that could change your view of your current situation?,你是否考慮過可能改變你對當前情況的看法的各種觀點和觀點？,1,1,1,0,1,,1
"Have you recently tried Protocol 6, and if you have, did it bring up difficult emotions from past events?",你最近是否嘗試過練習 6，如果你嘗試過，它是否會引起過去事件的困難情緒？,1,1,1,1,0,,1
"I understand, thank you. Do you feel like you are the victim of other people's behaviour?",我明白了，謝謝。你覺得你是別人行為的受害者嗎？,1,1,1,1,1,,
Do you always feel that you are responsible for things that are actually outside of your control?,你是否總是覺得你要為實際上超出你控制範圍的事情負責？,1,1,1,0,1,,
"As you may know, Protocol 6 can be used to examine events like these. Have you had any experience with Protocol 6? And, if so, did you find that it brought difficult emotions to the surface that were associated with past events?",你可能知道，練習 6 可用於檢查此類事件。你有任何使用練習 6 的經驗嗎？如果是這樣，你是否發現它使與過去事件相關的困難情緒浮出水面？,2,2,2,1,2,,
"Now that the protocol is finished, do you feel any differently to how you felt beforehand?",既然練習已經完成，你的感覺和之前的感覺有什麼不同嗎？,1,1,1,0,1,,
Thank you so much for opening up to me and telling me how you feel. I'm glad we could have this chat and I am here if you need me.,非常感謝你向我敞開心扉，告訴我你的感受。我很高興我們可以進行這次聊天，如果你需要我，我就在這裡。,2,2,2,2,2,,
"From what you've told me, it sounds like you're feeling {}, is this right?",從你告訴我的情況來看，你感覺{}，對嗎？,1,1,0,1,1,,
"Now, it's perfectly normal to feel either better or worse immediately after doing this. How would you say you feel after completing the protocol?",現在，這樣做後立即感覺好或壞是完全正常的。你會說你完成練習後感覺如何？,2,2,1,2,2,,
Do you feel you are always making yourself the reason for things going wrong?,你覺得你總是讓自己成為事情出錯的原因嗎？,0,0,0,0,0,,
"I can see you may be feeling {}, is this accurate?",我可以看出你可能會感覺{}，這是準確的嗎？,2,2,1,2,2,,
Do you feel you are the victim here?,你覺得你是這裡的受害者嗎？,0,0,0,0,1,,
Do you think you may be displaying controlling behaviour toward someone else?,你認為你可能對別人表現出控制行為嗎？,1,1,1,1,1,,
I'm sorry to hear you are feeling anxious. Did something happen to trigger these anxious feelings?,聽到你感到焦慮，我很抱歉。是不是發生了什麼事情引發了這些焦慮的情緒？,2,2,2,1,2,,
"OK, don't worry, I have a few more that might work better for you. Would you like to try a different one?",好的，別擔心，我還有一些可能對你更有效的方法。你想嘗試不同的嗎？,1,1,1,2,1,,
Do you think you are always taking the blame for things that aren't your fault?,你認為你總是為不是你的錯的事情承擔責任嗎？,1,1,1,0,1,,
"You said that you are having anxious feelings, I wonder if you can also remember if you have felt any other strong emotions towards another person. Do you feel that any of these may apply to how you've felt recently:",你說你有焦慮的感覺，不知道你是否還記得你對另一個人有沒有其他強烈的情緒。你是否認為其中任何一項可能適用於你最近的感受：,2,2,2,2,2,,
